f	spct
201	1.4924
201.5	1.4321
202	1.2699
202.5	1.2403
203	1.3435
203.5	1.1874
204	0.97655
204.5	0.97879
205	0.96223
205.5	0.79521
206	0.68919
206.5	0.88556
207	1.187
207.5	1.758
208	2.2518
208.5	2.2719
209	1.8075
209.5	1.7023
210	1.6826
210.5	1.82
211	2.0282
211.5	1.9688
212	1.4931
212.5	1.324
213	1.5062
213.5	1.5582
214	1.5739
214.5	1.8894
215	2.8817
215.5	3.3261
216	2.7238
216.5	2.1424
217	1.7012
217.5	1.1566
218	0.92515
218.5	1.2132
219	1.4731
219.5	1.6398
220	1.6588
220.5	1.3502
221	1.2045
221.5	0.86721
222	0.6757
222.5	1.1589
223	1.7556
223.5	1.3029
224	0.76604
224.5	0.71951
225	0.67544
225.5	0.49094
226	0.43674
226.5	0.67091
227	0.92436
227.5	0.70075
228	0.54264
228.5	0.75561
229	0.8759
229.5	0.94555
230	1.0415
230.5	1.2869
231	1.3202
231.5	0.9018
232	0.74501
232.5	0.97104
233	1.0709
233.5	1.1431
234	1.0267
234.5	0.97181
235	0.90695
235.5	0.64245
236	0.48555
236.5	0.53321
237	0.69059
237.5	0.85554
238	0.74239
238.5	0.61415
239	0.65636
239.5	0.8135
240	0.64526
240.5	0.58476
241	0.66051
241.5	0.70726
242	0.75207
242.5	0.67582
243	0.66477
243.5	0.86726
244	1.0813
244.5	0.92345
245	0.77789
245.5	0.68617
246	0.60108
246.5	0.63176
247	0.75785
247.5	0.77507
248	0.86808
248.5	0.7382
249	0.50446
249.5	0.38161
250	0.67419
250.5	1.17
251	1.0408
251.5	0.65639
252	0.47259
252.5	0.46541
253	0.56843
253.5	0.6226
254	0.5284
254.5	0.43687
255	0.49431
255.5	0.69894
256	0.76838
256.5	0.65321
257	0.48728
257.5	0.45159
258	0.7354
258.5	0.88096
259	0.65337
259.5	0.5381
260	0.58362
260.5	0.80178
261	0.96239
261.5	0.8645
262	0.57618
262.5	0.47664
263	0.39772
263.5	0.35776
264	0.50697
264.5	0.58322
265	0.51393
265.5	0.5546
266	0.7203
266.5	0.75577
267	0.72516
267.5	0.69068
268	0.76756
268.5	0.70546
269	0.61208
269.5	0.75636
270	0.99555
270.5	0.92439
271	0.58945
271.5	0.36203
272	0.31854
272.5	0.2693
273	0.34922
273.5	0.47235
274	0.40763
274.5	0.31314
275	0.29951
275.5	0.31283
276	0.29783
276.5	0.33032
277	0.48091
277.5	0.74484
278	0.83858
278.5	0.65465
279	0.33477
279.5	0.1646
280	0.33048
280.5	0.67138
281	0.85111
281.5	0.92895
282	0.83822
282.5	0.65876
283	0.47402
283.5	0.35654
284	0.30736
284.5	0.3659
285	0.47751
285.5	0.57035
286	0.56139
286.5	0.52933
287	0.57559
287.5	0.71893
288	0.65247
288.5	0.39179
289	0.28932
289.5	0.39225
290	0.53274
290.5	0.71721
291	0.7444
291.5	0.66222
292	0.47501
292.5	0.33849
293	0.27325
293.5	0.27519
294	0.35754
294.5	0.38043
295	0.50865
295.5	0.64715
296	0.56755
296.5	0.47402
297	0.49274
297.5	0.54123
298	0.48547
298.5	0.55403
299	0.64302
299.5	0.53768
300	0.4463
300.5	0.46015
301	0.35218
301.5	0.2983
302	0.41604
302.5	0.439
303	0.45034
303.5	0.59982
304	0.74549
304.5	0.65407
305	0.46317
305.5	0.34383
306	0.38492
306.5	0.62482
307	0.8526
307.5	0.78701
308	0.55074
308.5	0.35707
309	0.45864
309.5	0.61385
310	0.54322
310.5	0.42236
311	0.41226
311.5	0.47152
312	0.49053
312.5	0.4728
313	0.38714
313.5	0.41588
314	0.49173
314.5	0.40576
315	0.28552
315.5	0.37078
316	0.54772
316.5	0.42118
317	0.26117
317.5	0.287
318	0.31445
318.5	0.25671
319	0.34237
319.5	0.48619
320	0.43892
320.5	0.36902
321	0.3571
321.5	0.4306
322	0.51647
322.5	0.59137
323	0.49535
323.5	0.37863
324	0.24055
324.5	0.20839
325	0.29752
325.5	0.38684
326	0.37196
326.5	0.30636
327	0.34763
327.5	0.47831
328	0.56624
328.5	0.50193
329	0.30766
329.5	0.34701
330	0.60762
330.5	0.56955
331	0.27516
331.5	0.24637
332	0.50543
332.5	0.59414
333	0.40305
