f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7	sumEta
0	7.480970333500001E-18	4.12484762821E-18	1.6906983714000001E-19	1.9917304941E-19	3.1365659714299997E-19	3.29222202454E-19	1.8802385528999998E-20	3.3291230939999996E-20	1.2669033264326001E-17
0.166667	0.024132716442899996	0.0247500771809	5.4442701018E-05	4.6951512543E-05	0.000112680029404	0.00013466825897400002	2.4055038045000005E-06	1.5122461697999997E-06	0.04923545387571329
0.333333	0.024354841582400002	0.024964259506899997	5.458963356E-05	4.7090538696E-05	0.000112797877678	0.00013478462102	2.4071784536E-06	1.5136008911999999E-06	0.0496722845395988
0.5	0.024733889739399998	0.0253297724021	5.4834656427E-05	4.7326896309E-05	0.000112992583522	0.00013497912400200002	2.4101423723E-06	1.5162265367999999E-06	0.0504177217706691
0.666667	0.0252840691375	0.0258602243942	5.5182910904999996E-05	4.766479431E-05	0.000113266708855	0.00013525261727800002	2.4143465123E-06	1.5201580220999997E-06	0.0514995950675824
0.833333	0.026026935403599995	0.0265765660688	5.5641297140999995E-05	4.8109888446E-05	0.00011362110765000001	0.00013560425149000002	2.4199450254E-06	1.5252487019999999E-06	0.052960423210854396
1	0.026994019116100002	0.027509054186799997	5.6220368300999995E-05	4.8672174921000005E-05	0.00011405492593400001	0.00013603742407	2.4269168908999997E-06	1.5317010863999999E-06	0.0548620168141033
1.16667	0.0282301345693	0.028700992860399996	5.6932571709E-05	4.9363622874E-05	0.00011457157959900002	0.00013655043630200002	2.4353812261E-06	1.5392707668E-06	0.05729252029217689
1.33333	0.0297994620609	0.030214111493600003	5.779725483600001E-05	5.0202909423E-05	0.00011517021467200002	0.00013714668561800003	2.4456113000999997E-06	1.5482440502999998E-06	0.0603778844743994
1.5	0.031794987602199995	0.0321382450751	5.8839177033000005E-05	5.1214235904E-05	0.00011585339307200001	0.00013782532266	2.4576351404999997E-06	1.5590957876999998E-06	0.06430098153689719
