f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
939.883	930.124	706.741	422.446	796.969	32.2255	150.228	175.793	46.6572
940.216	930.542	707.522	421.988	798.348	31.915	149.304	176.068	47.3598
940.55	931.407	709.884	421.792	799.202	31.7492	148.546	175.982	47.5827
940.883	931.927	711.117	421.702	799.242	32.1526	149.48	175.731	47.8407
941.216	931.404	710.541	421.912	798.092	32.8218	151.767	175.659	48.2422
941.549	930.821	708.589	422.394	796.134	33.381	153.541	175.852	48.6806
941.882	930.586	707.788	423.119	794.613	33.4701	153.232	176.261	49.2833
942.215	930.79	706.903	423.725	793.731	33.2047	151.581	176.528	50.061
942.548	930.876	706.626	424.161	793.278	32.704	150.274	176.404	50.1992
942.881	930.632	705.632	424.169	793.183	32.5115	150.19	175.957	49.855
943.214	929.74	704.689	423.708	794.036	32.8337	150.904	175.682	49.5096
943.547	929.209	704.401	422.898	795.89	33.5004	151.454	175.714	49.2943
943.88	929.629	706.579	422.583	797.175	33.7499	150.802	175.956	49.0943
944.213	931.016	709.805	423.145	796.621	33.4921	149.462	176.159	49.0025
944.546	932.457	713.138	424.347	794.745	33.2213	148.758	176.1	48.9137
944.879	933.272	714.737	425.32	792.862	33.2922	149.169	175.886	48.7896
945.212	933.296	714.667	425.374	792.402	33.2469	149.869	175.871	48.2864
945.545	932.973	713.521	424.829	792.813	32.8067	150.299	175.844	47.5389
945.878	932.687	712.193	424.384	793.014	32.1657	150.28	175.592	47.1487
946.211	932.187	710.845	423.861	793.756	31.6909	149.955	175.223	47.507
946.545	931.465	709.314	422.973	795.584	31.5737	149.668	174.85	48.3022
946.878	931.006	709.249	422.027	798.044	31.5564	149.188	174.791	49.0544
947.211	931.037	710.136	421.665	799.715	31.6255	148.837	175.095	49.7785
947.544	931.256	711.648	422.328	799.332	31.8848	149.294	175.538	49.8322
947.877	931.913	712.779	423.198	797.882	32.3033	150.183	175.882	48.7426
948.21	932.442	713.453	423.683	796.96	32.4276	150.448	176.081	47.1071
948.543	932.869	712.945	423.753	796.563	32.4667	150.103	176.117	46.0001
948.876	933.24	713.646	423.706	796.553	32.5727	149.35	176.037	45.6472
949.209	933.699	714.299	423.828	795.83	32.6487	148.545	175.871	46.0003
949.542	933.625	714.703	424.419	793.928	32.4525	148.067	175.645	45.9677
949.875	933.017	713.36	424.775	792.534	32.3372	148.352	175.333	45.4107
950.208	931.668	711.475	424.669	792.844	32.4199	149.217	175.014	45.2599
950.541	930.492	709.631	424.026	794.638	32.9472	150.323	174.491	46.4153
950.874	930.351	710.065	423.369	796.796	33.2896	150.596	173.923	48.3441
951.207	931.261	711.336	422.992	797.792	32.8537	149.53	173.689	49.8458
951.54	932.031	712.429	422.821	797.744	31.9199	147.928	173.914	49.6832
951.873	932.353	712.498	422.564	797.459	31.3362	146.861	174.475	48.0119
952.206	932.142	712.464	422.438	796.906	31.3749	146.769	175.099	46.4972
952.54	931.912	712.732	422.681	796.131	31.8698	147.629	175.422	46.4324
952.873	932.064	713.554	423.302	795.661	32.3787	148.485	175.557	47.0742
953.206	932.091	713.727	423.437	796.714	32.9788	149.181	175.695	47.2829
953.539	931.725	712.548	422.651	799.021	33.8268	150.31	175.827	46.7388
953.872	931.429	711.543	421.974	800.031	34.3943	151.313	176.052	45.9376
954.205	931.653	711.351	422.374	798.198	34.418	151.983	176.287	46.0234
954.538	932.171	712.222	423.671	795.173	34.0317	152.131	176.293	46.9306
954.871	932.63	712.347	424.568	793.788	33.6142	151.404	176.21	48.1052
955.204	932.313	711.834	424.18	795.268	33.3375	150.532	176.305	49.4023
955.537	931.639	710.187	422.946	797.714	32.9398	149.84	176.391	50.6813
955.87	931.21	709.45	422.349	798.485	32.0842	148.89	176.429	51.4795
956.203	931.73	709.937	422.381	797.813	31.4465	148.342	176.307	52.0412
956.536	932.732	712.521	422.316	797.72	31.2074	148.11	176.031	51.9773
956.869	933.683	714.762	421.805	798.824	31.2119	147.808	175.867	50.8041
957.202	933.703	715.851	421.632	799.818	31.1852	147.67	175.957	48.4089
957.535	932.86	713.764	422.203	799.207	31.4002	148.095	175.871	46.3785
957.868	931.561	710.808	423.123	797.683	31.9866	148.843	175.593	46.3942
958.201	931.266	709.312	423.469	796.866	32.7274	149.055	175.344	48.3315
958.535	931.935	710.402	423.434	796.962	33.1237	148.601	175.255	49.9582
958.868	932.744	711.532	423.538	796.779	33.3461	148.767	175.306	49.7653
959.201	932.968	712.341	424.101	795.737	33.7434	150.222	175.268	48.4987
959.534	932.396	712.153	424.446	795.028	34.3717	152.329	175.006	47.8185
959.867	931.482	711.848	424.169	795.623	34.5025	153.25	174.889	47.5992
960.2	930.915	711.838	423.741	796.381	34.0684	152.802	175.141	46.643
960.533	930.423	711.12	423.529	795.923	33.642	152.616	175.58	45.5083
960.866	929.883	709.443	423.649	793.999	33.3541	152.969	175.857	45.8046
961.199	929.786	707.813	423.845	792.133	32.9806	152.522	175.686	47.6986
961.532	930.202	707.896	423.813	792.073	32.3077	150.856	175.332	49.3547
961.865	930.905	709.1	423.512	793.664	31.9216	149.719	175.189	49.0463
962.198	930.987	710.667	423.048	795.975	32.4685	150.666	175.256	47.139
962.531	930.289	710.337	422.417	798.129	33.5578	152.755	175.281	45.9856
962.864	929.281	709.416	422.28	799.053	34.1199	153.662	175.196	46.7106
963.197	929.38	709.357	422.777	798.395	33.8924	152.22	175.056	48.5734
963.53	930.735	711.959	423.633	796.705	32.9946	149.262	175.161	50.1336
963.863	932.628	714.731	424.174	794.865	32.3791	147.059	175.303	50.7416
964.197	933.437	716.708	423.958	794.685	32.6919	147.051	175.149	50.4355
964.53	932.574	715.341	423.006	796.291	33.683	149.215	174.818	50.2461
964.863	930.798	712.575	422.607	797.28	34.347	151.848	174.743	50.2604
965.196	929.906	710.195	423.107	796.382	34.4198	153.596	175.019	50.0561
965.529	930.044	710.214	423.832	795.122	34.2571	153.988	175.625	49.3754
965.862	930.765	711.607	423.895	795.597	34.6651	153.758	176.172	48.2177
966.195	930.845	712.668	423.114	798.272	35.4642	153.909	176.333	47.6196
966.528	930.315	711.482	422.211	800.561	35.6901	154.06	176.088	48.4835
966.861	930.122	710.203	422.171	800.338	34.8078	153.343	175.64	49.704
967.194	930.364	709.76	422.617	798.661	33.5662	152.152	175.207	50.2216
967.527	930.907	710.927	423.204	796.875	33.0113	151.179	174.959	49.8409
967.86	931.596	712.832	424.075	794.876	33.3209	151.055	174.834	49.0717
968.193	931.689	712.888	425.038	792.516	33.8142	151.968	174.832	48.9379
968.526	931.13	711.422	425.671	790.673	33.6622	152.802	175.056	49.395
968.859	930.601	709.659	425.685	790.329	32.8016	152.423	175.389	49.4793
969.192	930.622	709.772	425.334	791.221	31.9924	150.741	175.776	48.6276
969.525	931.589	711.383	424.959	792.141	31.7884	148.653	176.096	47.7017
969.858	932.083	712.532	424.909	792.268	31.9562	147.542	176.267	47.2938
970.192	931.622	711.234	424.954	791.68	32.3706	148.201	176.26	47.1718
970.525	930.632	709.623	425.034	791.067	32.696	149.726	176.188	47.2951
970.858	929.811	707.456	425.002	790.583	33.018	150.99	176.098	47.355
971.191	929.474	706.858	425.014	790.064	33.2269	151.594	176.206	47.3484
