f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
0	8339.44	7104.46	7121.58	2382.26	5141.97	6737.9	171389	163825
0.333056	8433.44	6895.78	7054.86	2368.44	5663.54	6640.33	163845	144221
0.666112	7921.25	6269.02	6201.39	2794.77	6234.87	5589.81	147501	122142
0.999167	7327.53	5911.25	5623.72	3315.03	6779.89	4373.99	135048	114899
1.33222	7327.53	5911.25	5623.72	3315.03	6779.89	4373.99	135048	114899
1.66528	7921.25	6269.02	6201.39	2794.77	6234.87	5589.81	147501	122142
1.99833	8433.44	6895.78	7054.86	2368.44	5663.54	6640.33	163845	144221
2.33139	8339.44	7104.46	7121.58	2382.26	5141.97	6737.9	171389	163825
2.66445	8274.25	6443.26	6465.39	2737.67	4813.93	6497.33	153335	163108
2.9975	8836.45	5467.16	5749.89	3223.52	4589.58	6419	117776	139229
3.33056	9624.81	5082.19	5246.94	3754.09	3883.27	6287.57	94576	96987.3
3.66361	9832.78	5716.29	5336.66	4221.08	3069.68	6311.31	110962	64004.1
3.99667	8755.87	6846.71	5538.66	4293.41	2853.3	6599.15	154838	62667.4
4.32973	7111.52	7484.64	5516.85	4098.98	3194.56	7207.93	192183	77912.2
4.66278	6392.93	7333.75	6189.25	3855.08	3680.76	7926.11	193215	88297.3
4.99584	6978.08	7381.93	7539.8	3664.42	3996.68	8413.14	167550	91070.1
5.32889	8026.58	8302.99	8712.29	3546.7	4015.11	8593.15	144304	93128.7
5.66195	8396.1	9298.07	9658.84	3359.05	3956.75	8376.11	132415	100257
5.995	7666.53	9402.5	10434.3	3167.02	4096.93	7578.15	122353	107476
6.32806	6580.31	8561.66	11016.2	3555.87	4509.43	6356.8	107360	104335
6.66112	6157.26	7497.91	11067.8	4353.5	4924.41	5005.32	85914.7	86392.5
6.99417	6359.81	6995.22	9800.59	4723.82	4831.6	3829.66	63890.6	62203.8
7.32723	6736.75	6864.37	8292.23	4431.6	3986.96	3758.55	54727.6	42678.8
7.66028	7467.71	6662.81	8027.86	3799.07	3176.64	5270.66	58122.4	30272.3
7.99334	8500.76	6611.76	8585.46	3292.24	3465.69	7838.22	70642.2	29019.5
8.32639	9147.92	7203.89	8904.93	3164.7	4521.72	10047.5	81834.7	39951.4
8.65945	9035.26	8360.95	8498.63	3067.73	5449.99	10491.9	79357.3	53894.7
8.99251	8143.31	9081.61	7541.66	2844.58	6036.31	8994.94	63714	63801.3
9.32556	7090.14	8460.44	6546.41	2883.19	6167.17	6620.89	46074.1	65995.8
9.65862	6902.61	6637.95	5886.66	3289.67	5759.7	4224.6	32736.4	60096
9.99167	7651.11	4769.2	6055.03	3779.29	5111.53	2836.05	26591.1	51610.7
10.3247	8695.43	4105.07	7001.05	4103.23	4602.12	2834.8	29546.2	43806
10.6578	9405.51	5208.49	7731.22	4503.41	4915.97	3247.85	37418.8	36621.8
10.9908	9217.69	7377.43	7308.1	5544.15	6131.51	3705.53	49684.3	33517.3
11.3239	8301.51	9308.96	6179.24	6781.57	7071.82	4139.38	61113.4	37272.3
11.657	7145.44	9855.34	5713.91	6924.92	7000.69	4706.51	61910.8	47916.1
11.99	6256.89	9103.65	6338.79	5840.05	6137.47	5626.25	53310	60725.7
12.3231	6111.92	8093.07	7724.67	4376.29	5090.82	6312.55	45241.4	68491.4
12.6561	6304.27	7479.37	9002.06	3424.81	4596.77	6161.42	40241.5	66430.7
12.9892	6357.54	7215.2	9258.04	3737.52	4809.17	5313.17	38758.1	55803.4
13.3222	6428.04	6902.37	8419.71	4587.39	5501.25	4416.92	40221.5	44262.6
13.6553	6181.09	6776.43	7460.45	4779.26	6224.64	4127	40835.3	42964.3
13.9883	5772.13	7432.93	7561.45	4244.37	6073.56	4181.28	39399.8	53884.9
14.3214	5958.97	8594.67	8544.97	3919.78	5167.35	3705.48	35252.5	64702.2
14.6545	6450.33	9013.14	9347.98	4477.83	4114.63	2670.44	32662.4	62656.4
14.9875	6855.92	8452.41	9462.04	5288.71	3396.88	2104.93	36904.6	46800.8
15.3206	7012.73	7871.38	8908.88	5221.33	3351.79	2651.78	47939.9	28210.4
15.6536	6826.61	7982.61	8885.4	3920.18	3471.33	3603.97	57374.8	17358.9
15.9867	7117.92	8586.47	9340.99	2558.95	3187.48	3894.17	55723.5	14085.3
16.3197	8086.54	9010.1	8919.46	2417.8	2947.81	3777.02	44988.2	14697.3
16.6528	8752.59	8664.58	7696.09	3018.81	3081.1	4090.57	31557.7	19186.9
16.9858	8413.99	7887.51	6526.79	3418.86	3586.63	4634.62	19477.5	26139.7
17.3189	7091.66	7202.61	6191.4	3808.97	4513.55	4863.62	13835.4	30697.8
17.652	5962.77	6773.7	6766.45	4301.88	5273.77	4734.44	15098.5	32234.1
17.985	5921.97	6891.32	7079.53	4975.27	5810.93	4399.42	20931.9	34714.4
18.3181	6649.36	7069.4	6554.43	5421.93	6339.87	4269.24	28849.2	41420.5
18.6511	7659.86	7024.62	6122.27	5108.25	6449.69	4278.14	35099.4	49902.6
18.9842	8398.54	7264.2	6494.39	4228.25	5978.42	4058.19	37368.6	52231.8
19.3172	8669.31	7561.88	7149.01	3645.06	5188.07	4335.99	34923.5	46108.5
19.6503	8929.69	7488.31	7538.22	3883.06	4364.97	5533.69	31333.1	40023.3
19.9833	8888.37	7135.24	8048.68	4781.16	4128.12	7138.39	29545.9	39565.6
20.3164	8329.36	6903.24	9126.77	5555.45	4413.58	8391.39	28647.8	42372.5
20.6495	7810.05	7202.35	10456.7	5715.75	5259.63	8747.38	28702.4	43812.4
20.9825	8141.84	7624.85	10710.5	5547.54	6755.69	8155.98	28922.8	39203.5
21.3156	9943.48	7582.62	9256.3	5231.06	8110.52	6945.59	30510.8	30172.2
21.6486	12207	7265.87	7888.48	4621.47	8559	5566.67	33870.4	25105.6
21.9817	12871.1	7436.99	8173.05	3997.25	7856.21	4501.97	34797.4	26069.7
22.3147	11577.4	8205.06	9431.49	4370.56	6543.76	3947.87	31945.5	27523.3
22.6478	9262.31	8703.69	9858.22	5767.68	5220	4184.31	25563.7	31890
22.9808	7101.68	8436.36	8301.03	6773.86	3947.37	4816.81	19304.6	42151.7
23.3139	6214.09	7905.7	6367.56	6345.02	2753.53	4757.41	19355.8	53585
23.647	6290.41	7553.24	6927.89	4925.11	2477.78	3925.99	25196.1	58639.9
23.98	6685.74	7412.17	9610.97	3736.56	3488.32	2834.97	31410.5	50111.8
24.3131	7452.91	7365.37	11328.2	3699.78	4735.22	2056.51	33210.6	31208.1
24.6461	8281.45	7193.52	10724.5	4059.55	5634.11	2074.47	28636.6	16255.8
24.9792	8797.71	7560.22	8979.94	3938.57	6611.93	2414.27	21411.6	12268
25.3122	9171	9076.13	8101.36	3877.61	7708.71	2808.93	15635.8	14967.5
25.6453	9294.69	10978.1	8482.85	4146.97	8833.32	3812.56	14178.7	18992.9
25.9784	8711.7	12054.9	8850.05	5015.06	9381.83	5484.25	17008.1	20686.2
26.3114	7795.56	11577.6	8596.13	6477.23	8814.48	6980.56	19435.9	21097.3
26.6445	6819.07	9752.25	8347.14	7271.04	7649.06	7721.48	17638.3	23479.4
26.9775	5869.28	7828.11	8563.06	7358.19	6095.55	7918.13	11909.9	28326.2
27.3106	6176.41	6851.72	8592.83	7417.56	4256.9	8512.9	5328.37	33845.1
27.6436	7881.19	6776.69	8256.68	7744.59	2832.94	9551.67	2729.81	35985.1
27.9767	9683.16	6998.62	8009.38	8643.49	2362.53	9431.77	5563.87	32319.4
28.3097	10537.1	7259.09	7642.18	9095.75	2854.74	7439.01	11089.4	25134.8
28.6428	9777.51	7606.2	7320.47	8800.09	3765.38	4680.84	16556.6	19222.5
28.9759	8676.23	8312.69	7368.25	8396.86	4931.76	3637.28	19738.1	17292.8
29.3089	8851.58	9456.52	7368.42	7280.53	6983.64	5201.4	19186	19281
29.642	9774.99	10006.7	7626.6	5374.98	9581.1	7864.23	15682.8	20956.9
29.975	9985.18	10138.6	8121.41	3504.39	11136.5	9889.68	12718.9	19231.5
30.3081	8744.43	10224.9	8154.51	2891.72	11183.2	10324.6	12197.2	18586.7
30.6411	7443.72	9859.74	8528.35	4046.5	10744.6	9344.47	13130.7	23995.9
30.9742	7800.99	9093.72	9293.01	5492.12	10825.5	8734.24	14800.8	32346.4
31.3072	8983.29	7899.92	9487.48	5895.27	11145.7	8743.57	16188.7	37781.4
31.6403	9369.55	7514.01	9401.43	5155.6	10044.8	8398.35	16494.2	36792
31.9734	8308.15	9106.75	8774.05	4090.62	7665.26	7577.11	15747.7	29266.2
32.3064	7204.75	11118.6	7777.93	3343.51	6283.95	7351.33	13091.4	21620.8
32.6395	8331.63	11828.5	9023.36	2807.94	7948.66	8933.95	9134.71	17438.4
32.9725	11815.6	11482.2	12248.5	2964.57	12348.9	10984	6441.08	15910.3
33.3056	15442.3	11365.9	14865	4472.18	17051.7	11191.6	6094.66	16666.3
33.6386	16730.3	12111.9	15172.3	6877.12	19534.6	9169.86	7992.78	18938.6
33.9717	14985.8	12408	12176.1	8716.5	18602.5	7601.81	11701.8	21418.9
34.3047	11438.3	11207	8689.16	8741.73	14662.5	8215.59	15094.3	22892.1
34.6378	7944.06	8796.97	7887.37	7838.48	10092.8	8933.89	16657	22572.6
34.9709	6097.69	7251.84	9264.64	7650.82	6900.92	8945.82	16114.2	19845.9
35.3039	6242.46	7861.1	10882.6	8591.03	5610.27	9603.9	13589.8	17823.6
35.637	7202.52	9040.19	11148.1	9358.74	6283.86	10379.5	10658.8	20170
35.97	8826.03	9641.38	10407.9	8310.4	7854.09	10624.1	8487.56	23743.9
36.3031	10444.1	9883.52	10611.7	6369.25	10024.7	9695.5	6819.9	24622.7
36.6361	10654.6	10273.3	11506.5	5614.83	12592.1	7554.23	5975.89	22679.7
36.9692	9597.99	11997.2	14173.6	6267.87	13778.2	6306.34	5928.39	19306.8
37.3022	8771.84	14426.2	18392.3	7038.38	13898.3	6587.63	6782.4	17478.2
37.6353	8989.97	15084.7	20732.4	6666.28	14850.2	7428.76	9036.96	18128.2
37.9684	10482	13312.5	20197.7	5524.06	16101.5	9314.96	11051.6	18958.8
38.3014	11682.2	11011	17542.1	5970.06	16286.8	11597	11909.5	19483.3
38.6345	11193.5	9958.34	14547.3	9459.1	13917.3	14090.7	12710.2	19614.5
38.9675	10622	9975.48	13851.4	14057.3	9656.33	17091.9	14005.6	18242.9
39.3006	11451.7	9637.55	15449.7	16660.4	7663.34	19637.6	14776.6	16518
39.6336	14465.9	8625.6	17376.6	16226.8	9024.76	20633.4	14164.2	15933.5
39.9667	18990.1	8872.31	18094.8	13717.9	10670.2	19582.6	12141.5	15585.5
40.2998	22088.1	11159.8	17493.3	11305.1	10420	16692.1	9415.14	14639
40.6328	22041	13565.7	16239.7	10680.3	9097.85	14728.1	7483.95	12969.9
40.9659	19952.5	13698.4	13936.5	11693.5	9124.47	15563.1	6663.72	10595.7
41.2989	17227.2	12754.8	11665.1	14096.4	11243.9	17591.7	6574.74	9033.91
41.632	14988.1	14227.2	9531.03	16983.3	13237.4	18293.9	8138.28	8623.26
41.965	13757.4	17672.9	7082.73	18028.4	13771.9	15924.5	10715	8802.42
42.2981	13875.7	18981.7	7541.34	17214	14606.1	14284.5	12204.6	9151.2
42.6311	14841.1	16276.2	11170	15998	17012.5	16570.6	11549	9796.48
42.9642	15339	12530.1	14173.6	14971.2	19350	19329.7	8697.47	10705.5
43.2973	15615	11738.6	15684.6	14786.5	19268.5	18244.3	6213.8	10878
43.6303	17295.8	14300.9	17158.2	16896.8	17453	13429.5	6926.03	9853
43.9634	20943	16386.2	20400.4	20995.5	15889.2	9999.92	9636.5	9131.21
44.2964	23094	15980	25048.5	24259.2	14625.3	13338.1	11580.6	10212.7
44.6295	20225	15850.7	26674.2	24738.9	12433.3	19458	11341.8	12424.9
44.9625	15594.5	18210.7	23397.2	22455	9323.36	22261.6	9958.11	13057.6
45.2956	14322.6	20391	19881	19320.8	7665.1	22197	9307.83	11507.8
45.6286	18138.9	20081.1	20008.6	17747	11775.6	22178.7	9478.37	11429.3
45.9617	24798.3	18254.6	21543	16483	21679	23933.1	9603.39	14135.1
46.2948	29608.6	16902.8	21305.5	15097.5	30929.4	26066	9316.75	16487.4
46.6278	29663.8	16983.7	19427.2	15506.1	33645.5	25528.2	9401.79	15733.7
46.9609	24953.8	16731.8	17688	16315.6	29085.5	22843.9	10669	12396.3
47.2939	18102.6	15384.7	16714.5	16625.2	21970.3	20367.3	11956.4	9674.43
47.627	14982	16068.6	16222.6	17484.4	18763.5	17742.4	11857.4	10082.4
47.96	19401.9	19605.3	18824.4	18712.6	20537.7	14676.7	10383.4	11561.8
48.2931	27011.2	23953.1	25661.4	22378.4	23922.4	12290.5	8408.53	12900
48.6261	31509.6	27711.9	31615.3	27070.1	27267	12902.1	7308.84	14689.4
48.9592	32338.1	30012.2	31436.1	28520.2	30649.7	18109.6	7451.12	15607.2
49.2923	32790.6	30300.3	25395.2	27303.6	32760.1	27744.2	8135.46	14628.6
49.6253	34007.5	29514.4	18091.7	24564	31194.6	37175.1	9934.89	12075.2
49.9584	33164.3	28981.4	14410.7	21561.9	24958.3	39489.3	12438.5	9024.46
50.2914	26839.3	29110.2	14152.5	21805.8	17497.1	33021.5	13471.4	7360.93
50.6245	17451.7	29882.5	16361.5	25695.3	14503	22203.9	12911.1	7243.22
50.9575	11178.5	29114.4	20693.6	30382.3	17915.4	14167.3	11452.4	6582.53
51.2906	10335.3	24984.3	24418.8	33328.4	23020.4	13581.7	9697.2	5636.2
51.6236	14834.9	19952.4	26033.6	33256	26703.1	16921.8	8766.19	7324.54
51.9567	22622.6	16547.5	28271.7	31471.4	31205.4	20483.7	8339.51	11621.7
52.2898	28583.5	14535.7	33061.4	28586.8	36611	24263.7	8204.65	15009.4
52.6228	28937.8	14272.5	36992.9	24203.5	41048.1	29658.3	8518.1	14790.9
52.9559	25399.5	14564.5	34938.8	20107.5	41062.5	36078.6	8008.57	11012
53.2889	22326.1	17013.7	31936.3	21139.1	35091.1	38469.3	6437.9	7883.64
53.622	24419.1	22471.3	34819.4	29369.8	27805.4	36397.2	4431.12	8284.39
53.955	30685	26372.9	39008.5	38248.9	27751.5	32290.2	2830.98	10558
54.2881	36108.5	26020.2	39040.1	39859.8	36115.4	27129.2	2371.29	12226.6
54.6211	39580.9	24787.9	33335.4	36694	45552.4	24465.8	2486.18	11685.7
54.9542	40762.3	27331.2	26271	35211.2	47891.4	24487.9	3142.31	9522.45
55.2873	40677.6	34000	25058.9	36549.5	39668.8	25927.4	4422.02	7987.38
55.6203	40304.8	39232.6	26010.5	38414.3	27261.8	28418.5	5881.7	7463.86
55.9534	38156.1	38392.9	24678.2	36593.9	20491.1	27881.9	7198.66	7657.06
56.2864	33853	37217	24568.3	30706.3	22378.5	26212.1	7466.16	7756.11
56.6195	28432	40674.1	25688.5	24436.7	32119.5	26684	6380.13	6961.64
56.9525	25615.5	44092	26478.5	19201.5	46234.3	27258.9	4833.5	5985.24
57.2856	30712.7	43166.2	24950.4	15728.9	55739.3	27402.7	3715.42	4945.01
57.6187	42404.6	39690.2	20514.1	15690.7	54696.6	28226.4	3724.04	3893.19
57.9517	55254.5	38502.1	18966.4	18459.8	47753.7	29823.5	4549.34	3479.03
58.2848	62399.4	44568.1	22392.8	21557.2	46306	30800.7	5619.73	4714.78
58.6178	59139.8	55510.6	26959.2	23941.2	51824.6	30393.8	6901.42	7395.71
58.9509	52772.3	65356.4	31934.2	25343.1	55716.5	30017.7	7930.63	9490.38
59.2839	52429.1	72523.9	39925.3	25544.6	53587.6	29358.4	9072.97	10223
59.617	57101.6	76035.7	51070.1	24384.4	45984.3	25462	10149.1	10495.7
59.95	64033.6	75030.4	59297.3	21817.2	36826.8	21201.9	10241.8	10935.1
60.2831	68486.6	71104.4	56117.6	19149.7	28171.2	20951.3	9758.18	11818.9
60.6162	63873.3	63978.4	43739	20406	18705.5	23317.3	8705.89	12517.6
60.9492	54065.9	51124.4	38820.7	28349	16569	24833.8	7561.44	11955.8
61.2823	46153	38996.4	49223.3	38125.9	26237.2	23111	7306.27	10099
61.6153	43095	34116.4	64771.7	40553.7	42483.1	20630.9	7290.56	7264.88
61.9484	52073.7	35487.1	74473.2	34018	58039.7	21362.5	6928.62	4175.48
62.2814	68090.5	38284.8	74245.3	27483	63176.9	24446.6	6171.19	2007
62.6145	74083.6	38702.4	66071.6	29093.3	58299.1	27298.2	4976.74	1421.63
62.9475	67936.2	37462.6	64281.2	36633.5	52683.3	31837.4	4478.41	3075.58
63.2806	54979.3	36367.1	82714.7	40949.5	49879	35962.1	5312.17	6564.8
63.6137	41563.2	37199	110126	37234.3	48855.5	35857.1	6854.31	9939.74
63.9467	36572.2	40466.3	128527	30318.4	48493.9	33604.3	7915.62	11715.4
64.2798	38726.6	43331.2	128948	31658.2	47422.6	32073.5	7408.61	11361.3
64.6128	43934	44260.6	112594	43851.6	46057.9	30136.5	6016.22	9588.95
64.9459	51141.7	41878.7	92769.6	66672.1	41881.8	26476.9	5019.67	8220.39
65.2789	55518.9	35795.1	81611.6	93448.7	34698.6	23441.7	4522.06	8027.29
65.612	57663.6	35164.8	74591.1	108201	34059.3	25849.3	3895.63	8627.43
65.945	62242.4	43981.2	71651.8	106453	46199.6	40939.9	3015.58	9344.46
66.2781	70864.4	62812.3	74707.9	98292.8	59796.3	64827.2	2577.83	9457.69
66.6112	96885.9	99672	74962	92252.7	63466.7	84995.9	3285.67	8755.57
66.9442	146638	144522	74276.9	93216.9	59150.8	95703.2	4543.88	7697.24
67.2773	198436	175841	82607.8	97980.2	56138.8	99084.3	5039.56	7125.19
67.6103	234136	183020	100226	95841.6	60948.4	96577.2	4626.95	6788.5
67.9434	247080	165788	119515	98455.4	65973.8	91390.7	4517.02	6199.42
68.2764	259877	164906	131300	125710	81183	84065.9	5031.87	5452.75
68.6095	348606	215135	153784	206598	117150	80167.1	5367.55	4374.09
68.9425	498618	282439	220858	331515	148932	93476	5066.48	3394.18
69.2756	608727	386448	318937	453433	167397	114366	4316.75	3225.13
69.6087	654290	537015	409163	514365	174194	121145	3942.94	4203.63
69.9417	638849	643021	454928	475296	163633	106132	4188.61	6512.12
70.2748	575779	680526	448640	362083	142149	76691.2	4398.97	9579.48
70.6078	501085	654686	409329	247764	112847	50556.1	4431.5	11766.9
70.9409	411749	556635	338110	194158	84876.5	38441.9	4400.51	11573.9
71.2739	367356	477412	241503	211423	89506.5	36388.7	3983.11	9436.52
71.607	438029	436856	182903	239303	121346	50751.8	3340.17	7180.52
71.94	533618	392761	192957	215626	146302	77462	3336.94	5805.31
72.2731	529388	412164	232348	165667	150850	99427.6	4618.3	5471.15
72.6062	417902	494528	243032	140220	138723	104815	6280.39	5726.94
72.9392	274748	562215	205822	157403	125495	91233.3	7025.86	6212.96
73.2723	182586	568830	158324	187330	122074	73447.4	6677.83	6749.24
73.6053	155256	473732	135592	199329	123238	67240.7	5754.17	6490.23
73.9384	160747	320874	125311	187836	121930	68510.7	5175.45	5718.3
74.2714	184971	248461	113238	169737	115035	69715.5	5354.56	5475.9
74.6045	211082	284525	119455	155314	102666	72259.9	5671.94	5713.34
74.9376	203516	329648	150798	134497	93983.2	75517.6	5549.33	5914.93
75.2706	149222	322571	189171	112332	91670.7	80028.3	4770.21	5613.3
75.6037	85072.6	272540	206272	98063.3	94192.9	81069.4	3901.18	5283.3
75.9367	56973.3	236467	194263	89116.4	102766	71543.5	3844.57	6018.07
76.2698	73174.5	244868	172702	88240.3	110673	60131.2	4603.66	7003.68
76.6028	113959	242582	157103	87764.1	111186	58488.2	5656.09	6883.15
76.9359	156265	197388	139143	85799.6	104360	62110.5	6109.64	5780.16
77.2689	173449	146844	125141	92596.7	87451.8	65797.2	5587.07	4552.75
77.602	160011	116235	122751	101330	65192.9	63202.8	4387.01	4254.56
77.9351	129289	118199	125632	99490.2	52350.2	51889.2	2913.29	5154.27
78.2681	98318.9	138607	123083	79505.2	54483.2	46216.3	2011.82	6315.52
78.6012	76421.7	144932	99222.5	53470.9	63018.5	50857.6	2382.98	6885.59
78.9342	64342.3	135223	62213.5	48598.9	65292.5	57324.7	3730.23	6686.4
79.2673	62327.2	116410	37581.3	61657.6	52400.6	59697.8	5147.38	6001.46
79.6003	72132.8	96989.8	29811.9	71838.6	33470.7	51098.1	5589.67	5401.55
79.9334	83471.3	83650.1	31918.2	72704	22896.2	34212.6	4683.57	5210.61
80.2664	80760.1	75624.1	44129.3	62952.5	25988.1	21931.2	3217.2	4890.79
80.5995	65795.9	67711.6	61739	50253.5	36915.6	18136.6	2297.17	4055.95
80.9326	55741.5	63317.9	73983	40959.4	46117.3	19357.9	2241.74	3565.86
81.2656	55613.8	67905.5	73928	35307.1	49887.3	24433.6	2484.6	3910.69
81.5987	62298.5	74943.3	62583.2	35074.5	48622.6	27986.4	2445.36	4620.64
81.9317	67913.9	77095.7	48712.9	41872.2	46966.1	28132.2	2227.34	5033.71
82.2648	63765	71745.2	40337.3	51232.5	47064.8	26523.2	2352.61	4564.85
82.5978	52127.9	59534	40254.3	57309.1	44844.2	22841.6	2997.76	3402.32
82.9309	37543.2	48034.3	51094.6	60016.2	37730	17191.6	3707.27	2469.37
83.2639	24745.8	47562	77462.9	64191.4	29798.7	12143.9	4032.99	2331.2
83.597	17367.7	53532.2	105053	67244.6	26407.1	11441.2	4058.67	2947.66
83.9301	15722.5	56273.2	110357	61666.3	28106.1	16222.2	4137.81	3773.47
84.2631	19110.3	54943.9	90731.6	46890.3	28963.6	22340.8	4256.12	4202.95
84.5962	23912.2	53811	62616.9	28330	25751.7	28508.2	4009.75	4284.7
84.9292	25946	60410.4	41526.3	14939.4	21842.3	35247.6	3201.57	4183.84
85.2623	25809	76239.3	36074.3	11579.3	21255	39907.4	2590.6	4058.68
85.5953	24808.5	91241.8	41907.5	13352.4	23442.8	42982.6	2727.3	3949.47
85.9284	26585.7	94391.8	48332.2	19633.4	24396.9	43253.7	3141.9	3869.74
86.2614	30391.3	82174.4	52347.9	30363.7	23011	38893.1	3759.24	3899.3
86.5945	36000.9	59087.8	49467.8	38347.5	21838.9	32738	4594.15	3822.9
86.9276	44307.7	37100.1	39379.6	40114.3	23472	24928.8	5286.81	3681.04
87.2606	49176.4	25590.9	29267.8	36601.9	27434.5	16175.9	5414.99	3719.98
87.5937	46635.8	24219.9	23096.8	31490	30007.2	12285.9	4477.86	3552.69
87.9267	38796.6	24569.5	19046.4	28312.9	27750.4	15040.3	2836.75	2858.63
88.2598	29532.4	21293.8	17295.8	24523.7	22161.7	21547.4	1554.96	2369.78
88.5928	23438.7	17529.2	17657.2	19872.3	17364.5	27848.1	984.891	2835.19
88.9259	22219.9	18647.6	17558.7	18380.6	14250.6	29237.1	1008.41	4143.13
89.259	24335.1	23210.2	15641.6	19139.7	11147.6	24607.5	1398.51	5195.73
89.592	28504	25950.2	12451.4	21740.8	8348.29	17678	1687.74	5036.31
89.9251	32491.2	28216.2	9643.58	27214.8	8607.6	12809.9	1617.91	3976.73
90.2581	33523.7	33399.8	8864.75	33064.8	12553.3	10495.2	1391.33	2836.98
90.5912	31002.5	40207.4	9520.96	35016.3	16945.3	9801.33	1261.21	2359.65
90.9242	27181.6	42882.6	9619.91	30436.3	18480	12651.5	1360.48	2606.68
91.2573	23020.6	37441.6	9749.75	21974.3	16024.6	17737.6	1669.26	2986.6
91.5903	19120.5	27911.3	12187.5	16118.9	13197.2	20334.5	1981.56	2951.73
91.9234	16798.3	22096.7	16204.2	15084	14660	20318.5	2138.5	2492.58
92.2565	15436.3	21257.6	18657.4	16473	20295.8	20244.7	2022.37	2073.51
92.5895	14143.1	21831.4	17775	19618.9	26119.9	21422.7	1610.22	2210.46
92.9226	13001.2	22336.3	17183.3	24489.3	27419.8	23399.8	1281.53	2557.26
93.2556	14297.1	23852.8	21439.5	28050	22780.7	22893.4	1686.46	2742.2
93.5887	18784.7	25121.7	28702.8	27990.5	15346.4	19019.1	2682.2	2936.34
93.9217	24051.6	23323.6	32416.5	24461.5	9486.16	15747.5	3382.66	3034.08
94.2548	28167.1	19566.1	28041.4	19751.6	8486.62	15377.8	3190.73	2808.25
94.5878	29006	15274.1	18649.7	16871.5	11450.4	16053.6	2329.71	2419.77
94.9209	26733.7	12707.6	10952.6	15601	14334.3	16590.1	1593.68	2241.45
95.254	23997.9	13833.8	7187.67	13856.2	15152.1	16571.6	1690.06	2430.56
95.587	21864.8	16423.9	5549.98	11955	14013.2	15431.1	2417.45	2881.69
95.9201	20234.8	18823.1	4853.61	10685.1	12696.6	14052.6	3316.26	3289.98
96.2531	19588.7	20121.5	5537.86	9566.93	13787.5	14771.8	4117.59	3507.67
96.5862	19052.2	18363.3	8470.37	8727.31	16552.3	18896	4452.85	3651.68
96.9192	17670.2	16174.1	12623.8	9949.3	19642.9	23216.1	4547.94	3691.39
97.2523	15748.3	15586.5	15664.7	13547.8	22601.3	23982.6	4680.24	3501.98
97.5853	14976.9	15017.3	15878.8	16746.1	23145.3	21242.3	4845.07	3515.59
97.9184	15770.8	14359.9	14292.5	17697.5	20261.8	17703.2	4855.43	3923.31
98.2515	17610.7	12749.9	12528.1	16776	15345.1	16287.5	4646.17	4432.66
98.5845	19048.9	10431.1	11163.3	15105.7	10414.8	16378.2	4386.36	4860.39
98.9176	19655	10061.5	11901.6	14782.5	8124.14	15045.5	4239.7	4924.04
99.2506	20435	11983	14748	15279.3	8541.91	12836	4050.77	4422.78
99.5837	20811.1	15389.5	16618.4	14254	8982.52	11013.6	3545.29	3569.26
99.9167	20920.1	19756.9	16491.6	11763.3	9113.37	10803.8	2911.59	2494.1
100.25	21612	23411.7	14660.5	8473.26	9442.27	12001.5	2522.46	1427.8
100.583	21341.8	24489.3	12191	5100.69	9844.51	12885.6	2688.17	821.147
100.916	20221.9	22746.3	11265.8	5031.73	10339.4	13264.7	3346.29	840.161
101.249	18713.7	20341.1	11843.6	8787.2	10712.2	13008.8	4040.76	1292.5
101.582	15549.4	19235.9	12217.4	13238.8	11393.8	12054.3	4166.41	1772.87
101.915	12926.2	19188.9	12371.8	16498.1	13102.4	10794.6	3926.1	2095.51
102.248	11192	18106.4	11935.1	17191.1	14105.8	8659.19	3749.12	2383.82
102.581	9074.25	14680.6	10994.7	16428.8	13131.4	6026.79	3572.57	2775.99
102.914	8130.21	10376.6	10993.9	15763.5	11333.5	4371.34	3232.21	3128.47
103.247	9516.88	6979.95	11872.5	14458.5	9600.03	4488.04	2772.41	3141.9
103.58	11990.5	5255.85	12041.4	12263.1	8934.35	7353.11	2536.15	2896.26
103.913	14170.5	5424.56	10687.3	10403.6	9588.36	11489	2671.95	2630.74
104.246	14136.5	7167.26	8910.37	9380.61	11966.3	13624.5	2706.09	2359.38
104.58	10857.3	10122.3	7919.67	10378.5	15672.1	13856.8	2154.87	1970.25
104.913	7046.15	12471.2	7498.03	13229.6	17709.6	14255.5	1715.44	1629.29
105.246	5821.29	13435.6	7069.56	16804.7	16044.7	14843.6	2058.66	1541.86
105.579	6633.91	15023.5	6281.99	18970.3	11422.7	14220	3112.08	1582.88
105.912	7417.46	18613.5	5746.71	17126.3	6531.31	11096.4	4324.81	1619.66
106.245	7040.05	22292.7	6607.92	12194	4652.76	6913.3	4772.67	1706.3
106.578	5493.3	22566	7990.33	7887.31	5693.64	5031.2	4247.92	1802.77
106.911	4884.55	18271.1	8770.03	6194.59	7184.41	5162.27	3311.87	1859.11
107.244	6143.55	12259.9	8863.45	6622.16	8191.13	4851.11	2309.9	1756.49
107.577	7817.43	8768.96	8667.58	7463.19	9330.14	4530.33	1605.49	1526.09
107.91	8814.08	8646.21	8568.65	7097.26	11074.9	5498.58	1501.95	1488.08
108.243	9497.46	10083.9	8568.37	6833.82	12102.1	7678.66	1711.99	1544.65
